contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,assist,qualifier,match_id,label,date,15,16,17,18,19,20,22,23,24,25,26,29,56,60,63,64,72,73,74,75,76,78,79,80,81,82,84,102,103,108,133,146,147,154,214,215,230,231,233,321,322,326,327,328,362,374,375,391,395,396,458,9,62,100,153,160,280,281,282,324,353,390,472,473,21,77,120,323,338,83,89,114,138,254,273,61,66,68,101,121,136,139,314,468,469,28,85,300,275,274,189,192,65,87,69,122,113,216,217,86,67
a9vw7ikerpr4cuweeeka5aneg,Horsens,2570260561,654,15,2,73,19,J. Ankersen,4mxciw9jsj9l437fd7bv78p91,1,79.3,56.3,2023-07-24T16:47:38.871,2023-07-25T22:41:22,NaN,"{""id"": 4402692313, ""qualifierId"": 76}",9cj94iqkojcbksir2jqfv4mj8,Kolding vs Horsens,2023-07-23,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,Center,NaN,NaN,NaN,true,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,true,NaN,53.7,19,true,NaN,82.0,56.0,NaN,NaN,true,98.4,50,638,0.0288,NaN,2,3,true,NaN,NaN,NaN,NaN,NaN,NaN,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2570260813,663,16,2,74,29,T. Mikkelsen,3l0wq19mq865qi29ndtb0axn9,1,97.2,50.9,2023-07-24T16:48:49.224,2023-07-25T22:43:47,1.0,"{""id"": 4400780443, ""qualifierId"": 56, ""value"": ""Center""}",9cj94iqkojcbksir2jqfv4mj8,Kolding vs Horsens,2023-07-23,NaN,true,NaN,NaN,NaN,true,true,NaN,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,47.1,19.6,true,NaN,NaN,NaN,true,true,NaN,99.3,47.3,NaN,0.8404,0.9909,3,1,true,NaN,2023-07-24 17:48:49.044,74:29.618,NaN,99.4,48.9,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2570262167,730,15,2,85,6,S. Denius,24t4ulsxyeufbmnnht3bru3md,1,88.3,31.8,2023-07-24T16:59:25.502,2023-07-25T22:51:12,NaN,"{""id"": 4400788165, ""qualifierId"": 103, ""value"": ""19""}",9cj94iqkojcbksir2jqfv4mj8,Kolding vs Horsens,2023-07-23,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,Center,NaN,true,NaN,true,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,true,NaN,51.5,19,NaN,NaN,90.3,35.2,NaN,NaN,true,98.6,47.5,753,0.0481,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2570263281,766,15,2,89,35,M. Kristensen,932yrcg5whf7qk0o70cx5n88a,1,74.2,61.0,2023-07-24T17:03:54.651,2023-07-25T22:54:46,1.0,"{""id"": 4400793463, ""qualifierId"": 327, ""value"": ""2""}",9cj94iqkojcbksir2jqfv4mj8,Kolding vs Horsens,2023-07-23,NaN,NaN,NaN,true,NaN,true,true,NaN,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,true,NaN,51.9,19,NaN,NaN,78.2,59.6,NaN,NaN,true,97.6,51.8,797,0.0295,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2570263517,773,13,2,90,21,M. Kristensen,932yrcg5whf7qk0o70cx5n88a,1,95.0,42.9,2023-07-24T17:04:40.555,2023-07-25T22:55:30,1.0,"{""id"": 4400795659, ""qualifierId"": 84}",9cj94iqkojcbksir2jqfv4mj8,Kolding vs Horsens,2023-07-23,true,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,true,Center,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,41.0,11.1,NaN,NaN,NaN,NaN,true,NaN,NaN,98.9,47.7,NaN,0.0922,NaN,3,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2570264677,800,13,2,94,7,M. Kristensen,932yrcg5whf7qk0o70cx5n88a,1,65.4,63.1,2023-07-24T17:08:26.938,2023-07-25T22:58:55,1.0,"{""id"": 4402698903, ""qualifierId"": 362, ""value"": ""1""}",9cj94iqkojcbksir2jqfv4mj8,Kolding vs Horsens,2023-07-23,NaN,NaN,NaN,NaN,true,true,true,NaN,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.1,6.9,NaN,NaN,NaN,NaN,true,true,true,48.9,60.5,NaN,0.1023,NaN,1,0,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a9vw7ikerpr4cuweeeka5aneg,Horsens,2570264039,820,13,2,91,59,M. Lassen,duahzgqspyuy2gu31u3s8ky96,1,89.2,40.6,2023-07-24T17:06:19.160,2023-07-25T22:56:08,1.0,"{""id"": 4400799175, ""qualifierId"": 84}",9cj94iqkojcbksir2jqfv4mj8,Kolding vs Horsens,2023-07-23,true,NaN,true,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,42.4,13.9,NaN,NaN,NaN,NaN,true,NaN,NaN,98.1,49.3,NaN,0.0446,NaN,3,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2571175037,87,15,1,11,11,T. Mikkelsen,3l0wq19mq865qi29ndtb0axn9,1,95.7,39.4,2023-07-29T12:13:01.230,2023-07-29T12:14:56,1.0,"{""id"": 4406451835, ""qualifierId"": 22}",9draaxf0rwp03nlc9h3tjjeac,Kolding vs Hillerød,2023-07-29,true,,NaN,NaN,,NaN,true,,NaN,NaN,,true,Center,true,NaN,NaN,NaN,NaN,,,NaN,NaN,,true,NaN,true,,46.7,19,NaN,,96.4,40.6,true,NaN,NaN,98.9,45.8,110,0.02983773685991764,NaN,3,2,true,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2571178109,113,15,1,14,22,J. Kiilerich,c1kv9ybtguhs625d1vwlwa6ay,1,92.2,55.9,2023-07-29T12:16:12.488,2023-07-29T12:18:51,1.0,"{""id"": 4406468023, ""qualifierId"": 29}",9draaxf0rwp03nlc9h3tjjeac,Kolding vs Hillerød,2023-07-29,true,,true,NaN,,NaN,NaN,,NaN,true,,true,Center,NaN,NaN,NaN,NaN,NaN,,,NaN,true,,NaN,NaN,true,,51.5,19,NaN,,93.7,55.1,true,NaN,NaN,98.6,52.0,134,0.07271672785282135,NaN,3,2,true,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2571188733,308,16,1,34,59,B. Kücükylidiz,bpldj4qdzfdm1n739atcadbmc,1,88.5,50.0,2023-07-29T12:36:48.992,2023-07-29T12:38:05,NaN,"{""id"": 4406519505, ""qualifierId"": 230, ""value"": ""99.7""}",9draaxf0rwp03nlc9h3tjjeac,Kolding vs Hillerød,2023-07-29,NaN,,true,NaN,,true,NaN,,NaN,NaN,,NaN,Center,NaN,NaN,NaN,NaN,NaN,,,true,NaN,,NaN,NaN,NaN,,53.9,3.8,NaN,,NaN,NaN,NaN,true,NaN,99.7,49.5,NaN,0.7884,0.9934,1,1,NaN,,2023-07-29 13:36:48.268,34:58.390,NaN,0.6,47.1,true,true,NaN,NaN,NaN,NaN,PENALTY_WON,224123,6463,NaN,247,552240,307,bqaz6x15h9zbvtkjw85yvrj36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
