contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,assist,qualifier,q_id,q_qualifierId,q_value,match_id,label,date,type_name,q_qualifier_name
4d5ca1j5czw1oo6zu727ggxp,Helsingør,2586261221,584,15,2,65,58,M. Christensen,a8zxp4qf5nw7eumulk3z3d15g,1,87.8,40.4,2023-09-03T13:27:56.944,2023-09-05T11:30:49,1.0,"{""id"": 4487933573, ""qualifierId"": 321, ""value"": ""0.06085002422332764""}",4487933573,321,0.06085002422332764,9mfm4r15iaxcbectj8nzazztg,Helsingør vs Hobro,2023-09-03,Attempt Saved,Expected Goals
4d5ca1j5czw1oo6zu727ggxp,Helsingør,2586262125,598,13,2,66,39,R. Marcus,ahs6m7vvgmj6ydqok7as4nx0,1,96.3,57.1,2023-09-03T13:28:37.616,2023-09-05T11:30:50,1.0,"{""id"": 4487909821, ""qualifierId"": 321, ""value"": ""0.2661365568637848""}",4487909821,321,0.2661365568637848,9mfm4r15iaxcbectj8nzazztg,Helsingør vs Hobro,2023-09-03,Miss,Expected Goals
4d5ca1j5czw1oo6zu727ggxp,Helsingør,2586279321,722,16,2,81,41,R. Lindén,a8y17yuoeo5ad25juugfnjy1g,1,94.0,51.5,2023-09-03T13:43:40.198,2023-09-05T13:14:39,1.0,"{""id"": 4488005299, ""qualifierId"": 321, ""value"": ""0.24386517703533173""}",4488005299,321,0.24386517703533173,9mfm4r15iaxcbectj8nzazztg,Helsingør vs Hobro,2023-09-03,Goal,Expected Goals
4d5ca1j5czw1oo6zu727ggxp,Helsingør,2586281533,742,13,2,83,43,M. Christensen,a8zxp4qf5nw7eumulk3z3d15g,1,72.7,62.5,2023-09-03T13:45:41.954,2023-09-05T13:14:34,1.0,"{""id"": 4488014733, ""qualifierId"": 321, ""value"": ""0.022522054612636566""}",4488014733,321,0.022522054612636566,9mfm4r15iaxcbectj8nzazztg,Helsingør vs Hobro,2023-09-03,Miss,Expected Goals
4d5ca1j5czw1oo6zu727ggxp,Helsingør,2659825467,39,15,1,5,1,S. Yatéké,9ircna8pbskreztmy1wiqwx9m,1,81.5,53.8,2024-03-16T12:07:51.136,2024-03-16T13:04:48,NaN,"{""id"": 4880833289, ""qualifierId"": 321, ""value"": ""0.08092159777879715""}",4880833289,321,0.08092159777879715,a7q5hqb74r62dqibjwb056xw4,SønderjyskE vs Helsingør,2024-03-16,Attempt Saved,Expected Goals
aljua8crr0vkwit0j3m59jw9j,SønderjyskE,2659831067,142,15,1,12,4,J. Gallegos,6gh4z3yubnpypzoakjom1rj3e,1,88.8,66.9,2024-03-16T12:14:53.809,2024-03-16T12:16:41,1.0,"{""id"": 4880847565, ""qualifierId"": 321, ""value"": ""0.03309902176260948""}",4880847565,321,0.03309902176260948,a7q5hqb74r62dqibjwb056xw4,SønderjyskE vs Helsingør,2024-03-16,Attempt Saved,Expected Goals
aljua8crr0vkwit0j3m59jw9j,SønderjyskE,2659840239,318,13,1,24,27,T. Kløve,ozsu77pdl1qshegexnbjfqvp,1,79.6,53.3,2024-03-16T12:27:16.842,2024-03-16T12:28:26,NaN,"{""id"": 4880892721, ""qualifierId"": 321, ""value"": ""0.049971144646406174""}",4880892721,321,0.049971144646406174,a7q5hqb74r62dqibjwb056xw4,SønderjyskE vs Helsingør,2024-03-16,Miss,Expected Goals
aljua8crr0vkwit0j3m59jw9j,SønderjyskE,2659845639,408,15,1,31,51,S. Andreasen,4qyfoq5fjiochtj89w426lm21,1,95.4,53.6,2024-03-16T12:34:41.625,2024-03-16T12:36:09,NaN,"{""id"": 4880921639, ""qualifierId"": 321, ""value"": ""0.4304088354110718""}",4880921639,321,0.4304088354110718,a7q5hqb74r62dqibjwb056xw4,SønderjyskE vs Helsingør,2024-03-16,Attempt Saved,Expected Goals
4d5ca1j5czw1oo6zu727ggxp,Helsingør,2659870773,415,13,2,50,6,M. Knudsen,7mz3eeftobqmj35uu0ax1vbhl,1,78.1,46.2,2024-03-16T13:09:41.239,2024-03-16T13:11:04,1.0,"{""id"": 4881051433, ""qualifierId"": 321, ""value"": ""0.042383261024951935""}",4881051433,321,0.042383261024951935,a7q5hqb74r62dqibjwb056xw4,SønderjyskE vs Helsingør,2024-03-16,Miss,Expected Goals
aljua8crr0vkwit0j3m59jw9j,SønderjyskE,2659847487,435,15,1,34,9,M. Agger,adg5dfvzxjrzlz1n2jsfeyx3o,1,89.8,53.0,2024-03-16T12:36:58.765,2024-03-16T12:38:10,1.0,"{""id"": 4880930871, ""qualifierId"": 321, ""value"": ""0.03129434958100319""}",4880930871,321,0.03129434958100319,a7q5hqb74r62dqibjwb056xw4,SønderjyskE vs Helsingør,2024-03-16,Attempt Saved,Expected Goals
