type,overall.away,overall.home,overall.middle,interval_type,interval,away,home,middle,label,match_id,date,home_team,away_team
territorial,40.4,59.6,NaN,15,61-75,31.5,68.5,NaN,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
territorial,40.4,59.6,NaN,15,76-90,46.4,53.6,NaN,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
territorial,40.4,59.6,NaN,45,0-45,42.6,57.4,NaN,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
territorial,40.4,59.6,NaN,45,46-90,38.2,61.8,NaN,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
territorialThird,35.8,20.8,43.4,5,0-5,57.4,12.8,29.8,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
territorialThird,35.8,20.8,43.4,5,6-10,20.7,29.3,50.0,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
territorialThird,35.8,20.8,43.4,5,11-15,39.0,9.8,51.2,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
territorialThird,35.8,20.8,43.4,5,16-20,39.0,13.6,47.4,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
territorialThird,35.8,20.8,43.4,5,21-25,18.2,27.3,54.5,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
territorialThird,35.8,20.8,43.4,5,26-30,21.4,42.9,35.7,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
territorialThird,35.8,20.8,43.4,5,31-35,58.6,17.2,24.2,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
territorialThird,35.8,20.8,43.4,5,36-40,13.0,41.3,45.7,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
territorialThird,35.8,20.8,43.4,5,41-45,41.7,10.7,47.6,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
territorialThird,35.8,20.8,43.4,5,46-50,20.8,13.0,66.2,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
territorialThird,35.8,20.8,43.4,5,51-55,63.9,8.3,27.8,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
territorialThird,35.8,20.8,43.4,5,56-60,42.9,20.0,37.1,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
territorialThird,35.8,20.8,43.4,5,61-65,50.8,19.0,30.2,Kolding vs Hillerød,9draaxf0rwp03nlc9h3tjjeac,2023-07-29,Kolding,Hillerød
