contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,assist,qualifier,q_id,q_qualifierId,q_value,match_id,label,date,type_name,q_qualifier_name
6wwwud48qahpwrfxs20334qk5,Fredericia,2672667815,334,13,1,36,26,E. Simonsen,45ssaw51hm80y1tfalyesap9m,1,88.1,62.9,2024-04-14T12:38:13.706,2024-04-16T11:29:44,NaN,"{""id"": 4949977557, ""qualifierId"": 321, ""value"": ""0.047940533608198166""}",4949977557,321,0.047940533608198166,d2cbzhgkd7ft5t98sx2bqpa8k,Fredericia vs SønderjyskE,2024-04-14,Miss,Expected Goals
aljua8crr0vkwit0j3m59jw9j,SønderjyskE,2672668513,365,16,1,37,0,M. Agger,adg5dfvzxjrzlz1n2jsfeyx3o,1,85.5,55.0,2024-04-14T12:38:47.313,2024-04-16T11:29:53,1.0,"{""id"": 4949964965, ""qualifierId"": 321, ""value"": ""0.6017182469367981""}",4949964965,321,0.6017182469367981,d2cbzhgkd7ft5t98sx2bqpa8k,Fredericia vs SønderjyskE,2024-04-14,Goal,Expected Goals
aljua8crr0vkwit0j3m59jw9j,SønderjyskE,2672678337,440,15,1,45,0,J. Gallegos,6gh4z3yubnpypzoakjom1rj3e,1,76.1,53.4,2024-04-14T12:46:47.294,2024-04-14T12:48:58,1.0,"{""id"": 4950024673, ""qualifierId"": 321, ""value"": ""0.028861895203590393""}",4950024673,321,0.028861895203590393,d2cbzhgkd7ft5t98sx2bqpa8k,Fredericia vs SønderjyskE,2024-04-14,Attempt Saved,Expected Goals
6wwwud48qahpwrfxs20334qk5,Fredericia,2672706873,493,13,2,52,14,G. Marcussen,ayxi2m0g0pm6rl1ba5pto66z9,1,73.1,46.4,2024-04-14T13:11:28.708,2024-04-16T12:29:15,1.0,"{""id"": 4950171185, ""qualifierId"": 321, ""value"": ""0.01928887329995632""}",4950171185,321,0.01928887329995632,d2cbzhgkd7ft5t98sx2bqpa8k,Fredericia vs SønderjyskE,2024-04-14,Miss,Expected Goals
aljua8crr0vkwit0j3m59jw9j,SønderjyskE,2672702047,508,16,2,49,14,S. Emini,5x8064b3yr7txk0czddfjtffu,1,85.3,38.8,2024-04-14T13:08:28.131,2024-04-14T13:10:30,1.0,"{""id"": 4950148797, ""qualifierId"": 321, ""value"": ""0.14570067822933197""}",4950148797,321,0.14570067822933197,d2cbzhgkd7ft5t98sx2bqpa8k,Fredericia vs SønderjyskE,2024-04-14,Goal,Expected Goals
aljua8crr0vkwit0j3m59jw9j,SønderjyskE,2672722263,606,15,2,62,12,A. Oggesen,3361cs2j60yxzy9mir80byqc5,1,81.2,37.4,2024-04-14T13:21:26.920,2024-04-16T13:33:12,1.0,"{""id"": 4950253369, ""qualifierId"": 321, ""value"": ""0.025427663698792458""}",4950253369,321,0.025427663698792458,d2cbzhgkd7ft5t98sx2bqpa8k,Fredericia vs SønderjyskE,2024-04-14,Attempt Saved,Expected Goals
6wwwud48qahpwrfxs20334qk5,Fredericia,2672734801,682,13,2,71,13,E. Simonsen,45ssaw51hm80y1tfalyesap9m,1,85.6,67.9,2024-04-14T13:30:27.497,2024-04-16T13:33:13,1.0,"{""id"": 4950319061, ""qualifierId"": 321, ""value"": ""0.03932776302099228""}",4950319061,321,0.03932776302099228,d2cbzhgkd7ft5t98sx2bqpa8k,Fredericia vs SønderjyskE,2024-04-14,Miss,Expected Goals
6wwwud48qahpwrfxs20334qk5,Fredericia,2672759659,893,13,2,90,11,G. Marcussen,ayxi2m0g0pm6rl1ba5pto66z9,1,84.9,41.1,2024-04-14T13:49:25.835,2024-04-16T14:30:18,NaN,"{""id"": 4950453429, ""qualifierId"": 321, ""value"": ""0.04598033428192139""}",4950453429,321,0.04598033428192139,d2cbzhgkd7ft5t98sx2bqpa8k,Fredericia vs SønderjyskE,2024-04-14,Miss,Expected Goals
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2674434673,39,15,1,2,42,A. Simon Okosun,a7eramyy1bd8msxmg84ctc8ut,1,91.2,54.6,2024-04-18T16:03:58.839,2024-04-20T11:29:08,1.0,"{""id"": 4959507319, ""qualifierId"": 321, ""value"": ""0.06454391032457352""}",4959507319,321,0.06454391032457352,d2pvcwvl8c1rjc3m4jqdojms4,SønderjyskE vs Vendsyssel,2024-04-18,Attempt Saved,Expected Goals
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2674436107,106,13,1,10,21,F. Børsting,egwhlgopjtjkop7ozy7ltk1cl,1,86.7,46.3,2024-04-18T16:11:38.400,2024-04-18T16:12:48,1.0,"{""id"": 4959515803, ""qualifierId"": 321, ""value"": ""0.03889523074030876""}",4959515803,321,0.03889523074030876,d2pvcwvl8c1rjc3m4jqdojms4,SønderjyskE vs Vendsyssel,2024-04-18,Miss,Expected Goals
aljua8crr0vkwit0j3m59jw9j,SønderjyskE,2674435875,116,15,1,9,4,S. Emini,5x8064b3yr7txk0czddfjtffu,1,85.3,36.3,2024-04-18T16:10:21.547,2024-04-20T11:29:08,1.0,"{""id"": 4959515947, ""qualifierId"": 321, ""value"": ""0.08630884438753128""}",4959515947,321,0.08630884438753128,d2pvcwvl8c1rjc3m4jqdojms4,SønderjyskE vs Vendsyssel,2024-04-18,Attempt Saved,Expected Goals
aljua8crr0vkwit0j3m59jw9j,SønderjyskE,2674435959,125,13,1,9,31,S. Andreasen,4qyfoq5fjiochtj89w426lm21,1,88.0,57.0,2024-04-18T16:10:47.889,2024-04-20T11:29:17,1.0,"{""id"": 4959514921, ""qualifierId"": 321, ""value"": ""0.030063247308135033""}",4959514921,321,0.030063247308135033,d2pvcwvl8c1rjc3m4jqdojms4,SønderjyskE vs Vendsyssel,2024-04-18,Miss,Expected Goals
aljua8crr0vkwit0j3m59jw9j,SønderjyskE,2674436453,149,15,1,11,40,M. Agger,adg5dfvzxjrzlz1n2jsfeyx3o,1,79.9,46.2,2024-04-18T16:12:57.434,2024-04-20T11:29:10,1.0,"{""id"": 4959518325, ""qualifierId"": 321, ""value"": ""0.11944673955440521""}",4959518325,321,0.11944673955440521,d2pvcwvl8c1rjc3m4jqdojms4,SønderjyskE vs Vendsyssel,2024-04-18,Attempt Saved,Expected Goals
aljua8crr0vkwit0j3m59jw9j,SønderjyskE,2674438975,285,15,1,25,50,S. Emini,5x8064b3yr7txk0czddfjtffu,1,80.6,53.8,2024-04-18T16:27:07.729,2024-04-20T11:29:16,NaN,"{""id"": 4959532939, ""qualifierId"": 321, ""value"": ""0.028125213459134102""}",4959532939,321,0.028125213459134102,d2pvcwvl8c1rjc3m4jqdojms4,SønderjyskE vs Vendsyssel,2024-04-18,Attempt Saved,Expected Goals
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2674439967,306,15,1,31,50,M. Haarup,6t6k24gn6zwxz1g6c3n4ph0q,1,83.1,45.4,2024-04-18T16:33:06.951,2024-04-18T17:04:02,1.0,"{""id"": 4959538507, ""qualifierId"": 321, ""value"": ""0.09430917352437973""}",4959538507,321,0.09430917352437973,d2pvcwvl8c1rjc3m4jqdojms4,SønderjyskE vs Vendsyssel,2024-04-18,Attempt Saved,Expected Goals
aljua8crr0vkwit0j3m59jw9j,SønderjyskE,2674441667,436,13,1,42,50,O. Hyseni,94560hgwsjkx8qgz48f7gzitw,1,72.0,68.2,2024-04-18T16:44:06.883,2024-04-20T11:29:07,1.0,"{""id"": 4959547861, ""qualifierId"": 321, ""value"": ""0.012671063654124737""}",4959547861,321,0.012671063654124737,d2pvcwvl8c1rjc3m4jqdojms4,SønderjyskE vs Vendsyssel,2024-04-18,Miss,Expected Goals
aljua8crr0vkwit0j3m59jw9j,SønderjyskE,2674446855,547,14,2,51,26,O. Hyseni,94560hgwsjkx8qgz48f7gzitw,1,88.0,68.7,2024-04-18T17:10:20.950,2024-04-20T13:10:17,1.0,"{""id"": 4959579145, ""qualifierId"": 321, ""value"": ""0.06222289428114891""}",4959579145,321,0.06222289428114891,d2pvcwvl8c1rjc3m4jqdojms4,SønderjyskE vs Vendsyssel,2024-04-18,Post,Expected Goals
aljua8crr0vkwit0j3m59jw9j,SønderjyskE,2674450411,695,13,2,67,23,O. Hyseni,94560hgwsjkx8qgz48f7gzitw,1,81.6,46.1,2024-04-18T17:26:17.354,2024-04-18T17:27:28,1.0,"{""id"": 4959599195, ""qualifierId"": 321, ""value"": ""0.09781148284673691""}",4959599195,321,0.09781148284673691,d2pvcwvl8c1rjc3m4jqdojms4,SønderjyskE vs Vendsyssel,2024-04-18,Miss,Expected Goals
aljua8crr0vkwit0j3m59jw9j,SønderjyskE,2674452109,802,13,2,75,15,A. Oggesen,3361cs2j60yxzy9mir80byqc5,1,85.4,34.6,2024-04-18T17:34:09.397,2024-04-20T19:29:21,1.0,"{""id"": 4959609105, ""qualifierId"": 321, ""value"": ""0.040984030812978745""}",4959609105,321,0.040984030812978745,d2pvcwvl8c1rjc3m4jqdojms4,SønderjyskE vs Vendsyssel,2024-04-18,Miss,Expected Goals
aljua8crr0vkwit0j3m59jw9j,SønderjyskE,2674452443,817,15,2,77,23,L. Björklund,1902oagnhlo7x9xpumxvg1t78,1,78.5,46.0,2024-04-18T17:36:17.492,2024-04-20T19:29:19,1.0,"{""id"": 4959612665, ""qualifierId"": 321, ""value"": ""0.03183847665786743""}",4959612665,321,0.03183847665786743,d2pvcwvl8c1rjc3m4jqdojms4,SønderjyskE vs Vendsyssel,2024-04-18,Attempt Saved,Expected Goals
aljua8crr0vkwit0j3m59jw9j,SønderjyskE,2674452449,818,15,2,77,25,D. Wilkins,5q4p56lg1vjsqo824aql0e1d6,1,70.4,55.3,2024-04-18T17:36:19.876,2024-04-18T17:37:46,NaN,"{""id"": 4959611597, ""qualifierId"": 321, ""value"": ""0.014620753936469555""}",4959611597,321,0.014620753936469555,d2pvcwvl8c1rjc3m4jqdojms4,SønderjyskE vs Vendsyssel,2024-04-18,Attempt Saved,Expected Goals
aljua8crr0vkwit0j3m59jw9j,SønderjyskE,2674454155,934,15,2,88,21,K. Ingason,a8opuarwq9byw73nhfgvo9nca,1,92.1,62.0,2024-04-18T17:47:15.786,2024-04-20T19:55:44,1.0,"{""id"": 4959621991, ""qualifierId"": 321, ""value"": ""0.07583167403936386""}",4959621991,321,0.07583167403936386,d2pvcwvl8c1rjc3m4jqdojms4,SønderjyskE vs Vendsyssel,2024-04-18,Attempt Saved,Expected Goals
aljua8crr0vkwit0j3m59jw9j,SønderjyskE,2678303499,47,13,1,4,9,S. Emini,5x8064b3yr7txk0czddfjtffu,1,80.0,45.0,2024-04-26T17:05:44.199,2024-04-29T14:29:15,1.0,"{""id"": 4980451855, ""qualifierId"": 321, ""value"": ""0.05343138054013252""}",4980451855,321,0.05343138054013252,d48f0cb8vmfsrkuix30goht78,Kolding vs SønderjyskE,2024-04-26,Miss,Expected Goals
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2678307913,115,15,1,11,13,A. Beck,dyzzo6n83rg4fpvmqqa69moes,1,85.1,53.3,2024-04-26T17:12:48.198,2024-04-26T17:14,1.0,"{""id"": 4980475239, ""qualifierId"": 321, ""value"": ""0.12599097192287445""}",4980475239,321,0.12599097192287445,d48f0cb8vmfsrkuix30goht78,Kolding vs SønderjyskE,2024-04-26,Attempt Saved,Expected Goals
aljua8crr0vkwit0j3m59jw9j,SønderjyskE,2678311771,183,13,1,19,9,J. Gallegos,6gh4z3yubnpypzoakjom1rj3e,1,81.2,50.9,2024-04-26T17:20:44.140,2024-04-26T17:57:43,1.0,"{""id"": 4980588693, ""qualifierId"": 321, ""value"": ""0.038925252854824066""}",4980588693,321,0.038925252854824066,d48f0cb8vmfsrkuix30goht78,Kolding vs SønderjyskE,2024-04-26,Miss,Expected Goals
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2678316111,273,14,1,29,56,P. Ngongo,1nn1wc14k9zd3wtu73loj7kes,1,89.9,49.7,2024-04-26T17:31:30.514,2024-04-26T17:32:43,1.0,"{""id"": 4980521367, ""qualifierId"": 321, ""value"": ""0.058973971754312515""}",4980521367,321,0.058973971754312515,d48f0cb8vmfsrkuix30goht78,Kolding vs SønderjyskE,2024-04-26,Post,Expected Goals
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2678324409,392,14,1,44,48,A. Leifsson,dqssvdpt2iwg8qn9wto3miind,1,81.9,44.4,2024-04-26T17:46:23.540,2024-04-29T15:32:26,NaN,"{""id"": 4980568171, ""qualifierId"": 321, ""value"": ""0.08038635551929474""}",4980568171,321,0.08038635551929474,d48f0cb8vmfsrkuix30goht78,Kolding vs SønderjyskE,2024-04-26,Post,Expected Goals
aljua8crr0vkwit0j3m59jw9j,SønderjyskE,2678324521,438,16,1,45,0,M. Agger,adg5dfvzxjrzlz1n2jsfeyx3o,1,87.5,45.8,2024-04-26T17:46:34.982,2024-04-26T17:48:23,1.0,"{""id"": 4980569491, ""qualifierId"": 321, ""value"": ""0.6560760736465454""}",4980569491,321,0.6560760736465454,d48f0cb8vmfsrkuix30goht78,Kolding vs SønderjyskE,2024-04-26,Goal,Expected Goals
aljua8crr0vkwit0j3m59jw9j,SønderjyskE,2678332705,463,15,2,45,27,M. Agger,adg5dfvzxjrzlz1n2jsfeyx3o,1,88.7,57.0,2024-04-26T18:05:46.237,2024-04-26T18:09:57,1.0,"{""id"": 4980626005, ""qualifierId"": 321, ""value"": ""0.08668720722198486""}",4980626005,321,0.08668720722198486,d48f0cb8vmfsrkuix30goht78,Kolding vs SønderjyskE,2024-04-26,Attempt Saved,Expected Goals
aljua8crr0vkwit0j3m59jw9j,SønderjyskE,2678337431,520,13,2,50,56,D. Wilkins,5q4p56lg1vjsqo824aql0e1d6,1,87.0,68.8,2024-04-26T18:11:15.329,2024-04-26T18:14:43,1.0,"{""id"": 4980648795, ""qualifierId"": 321, ""value"": ""0.06382954120635986""}",4980648795,321,0.06382954120635986,d48f0cb8vmfsrkuix30goht78,Kolding vs SønderjyskE,2024-04-26,Miss,Expected Goals
