contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,assist,qualifier,match_id,label,date,15,16,17,18,20,22,23,24,25,29,56,61,63,64,72,73,74,75,76,77,78,80,81,82,84,89,100,102,103,108,133,146,147,153,154,160,214,215,230,231,233,321,322,326,327,328,374,375,391,395,396,458,21,60,83,139,323,338,9,26,86,101,120,136,324,353,390,65,79,113,114,138,273,62,66,85,280,281,282,472,28,70,254,275,473,87,67,19,274,276,121,137,468,469,216,217,314,122,300
b2vft81kyjurzbmekvgrqwr64,Hobro,2621499615,755,15,2,85,15,L. Skjellerup,iygkwt0uv3gt899wmlbwc296,1,84.9,34.7,2023-11-26T15:46:16.509,2023-11-28T18:14:46,1.0,"{""id"": 4676199259, ""qualifierId"": 326, ""value"": ""1""}",9zuv8od7krl6ynuqwdr1akxsk,AaB vs Hobro,2023-11-26,NaN,NaN,NaN,NaN,true,NaN,true,NaN,NaN,true,Center,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,true,NaN,51.3,3.2,NaN,NaN,91.6,41.5,NaN,true,NaN,true,NaN,NaN,NaN,818,0.29003649950027466,0.6978,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36g6ifzjliec1jqnbtf7yesme,AaB,2621504261,861,15,2,90,6,Y. Bakiz,bb8q9cgqzw9n2tmkl8s3bth0q,1,75.8,36.9,2023-11-26T15:51:07.465,2023-11-26T15:54:43,1.0,"{""id"": 4676234595, ""qualifierId"": 230, ""value"": ""98.4""}",9zuv8od7krl6ynuqwdr1akxsk,AaB vs Hobro,2023-11-26,NaN,NaN,NaN,true,true,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,true,NaN,NaN,NaN,50.5,19,NaN,NaN,81.8,40.3,NaN,true,NaN,NaN,true,98.4,47.8,793,0.020270712673664093,NaN,1,2,true,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36g6ifzjliec1jqnbtf7yesme,AaB,2621505093,869,15,2,91,1,E. Toku,6d05w3h1odtki5z4wqojf6z56,1,73.8,25.6,2023-11-26T15:52:02.809,2023-11-26T15:53:16,1.0,"{""id"": 4676229961, ""qualifierId"": 82}",9zuv8od7krl6ynuqwdr1akxsk,AaB vs Hobro,2023-11-26,NaN,NaN,NaN,true,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,true,NaN,NaN,NaN,48.3,19,NaN,NaN,85.5,35.7,NaN,NaN,NaN,NaN,true,98.4,47.3,801,0.014973049983382225,NaN,2,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36g6ifzjliec1jqnbtf7yesme,AaB,2621508065,908,15,2,93,42,L. Kramer,7yst1mucy7jynmpzu1thox2i,1,94.2,34.0,2023-11-26T15:54:43.740,2023-11-26T15:57:08,1.0,"{""id"": 4680938541, ""qualifierId"": 29}",9zuv8od7krl6ynuqwdr1akxsk,AaB vs Hobro,2023-11-26,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,true,Center,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,true,NaN,NaN,NaN,47.2,19,NaN,NaN,95.1,36.1,NaN,true,true,NaN,NaN,99.1,46.0,823,0.05254829302430153,NaN,3,3,true,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a9vw7ikerpr4cuweeeka5aneg,Horsens,2623341283,10,15,1,0,30,M. Opondo,4m3slt6iikaxklqd12i719rl5,1,83.1,35.8,2023-12-01T18:01:53.604,2023-12-01T18:03:05,1.0,"{""id"": 4686104657, ""qualifierId"": 22}",a1nefyfy7qtq1slexl4uz1gr8,Horsens vs Hobro,2023-12-01,NaN,NaN,NaN,NaN,NaN,true,,,NaN,true,Center,,true,NaN,true,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,true,NaN,,,51.7,19,NaN,NaN,90.3,42.6,NaN,NaN,,NaN,true,98.4,48.4,11,0.04548134282231331,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a9vw7ikerpr4cuweeeka5aneg,Horsens,2623341529,13,13,1,1,1,F. Roslyng,4i0jiisff5k1efcgf27skpqfo,1,90.8,41.1,2023-12-01T18:02:24.352,2023-12-01T18:05:13,1.0,"{""id"": 4686110571, ""qualifierId"": 102, ""value"": ""89.4""}",a1nefyfy7qtq1slexl4uz1gr8,Horsens vs Hobro,2023-12-01,NaN,NaN,true,NaN,NaN,NaN,,,true,true,Center,,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,89.4,4.2,NaN,NaN,95.3,54.0,true,true,,NaN,NaN,99.0,49.6,NaN,0.00955034326761961,NaN,3,2,true,NaN,NaN,true,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2623345563,86,15,1,7,11,V. Rasmussen,dwuxps3jv2852642q000wep6,1,77.2,46.2,2023-12-01T18:08:34.804,2023-12-01T18:09:51,1.0,"{""id"": 4686126879, ""qualifierId"": 102, ""value"": ""49.2""}",a1nefyfy7qtq1slexl4uz1gr8,Horsens vs Hobro,2023-12-01,NaN,NaN,NaN,true,true,true,,,NaN,true,Center,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,true,NaN,,,49.2,19,NaN,NaN,84.1,47.1,NaN,NaN,,NaN,true,97.6,49.5,47,0.03587052598595619,NaN,2,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2623351377,153,13,1,15,9,M. Brajanac,4krwgfspxdgpq1pli11b04iga,1,87.6,55.3,2023-12-01T18:16:32.172,2023-12-01T19:06:48,1.0,"{""id"": 4686157041, ""qualifierId"": 22}",a1nefyfy7qtq1slexl4uz1gr8,Horsens vs Hobro,2023-12-01,NaN,NaN,true,NaN,true,true,,,NaN,true,Center,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,,,38.5,58.3,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,true,95.1,52.0,NaN,0.18765342235565186,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a9vw7ikerpr4cuweeeka5aneg,Horsens,2623354851,198,15,1,21,10,A. Ekeroth,c1p51x3fg0dgss14z9vozfqc4,1,74.7,55.1,2023-12-01T18:22:33.141,2023-12-01T18:23:58,1.0,"{""id"": 4686177461, ""qualifierId"": 147, ""value"": ""52.9""}",a1nefyfy7qtq1slexl4uz1gr8,Horsens vs Hobro,2023-12-01,NaN,NaN,NaN,true,NaN,true,,,NaN,true,Center,,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,true,NaN,,,50.0,19,NaN,NaN,85.6,52.9,NaN,NaN,,NaN,true,98.4,49.3,213,0.027365483343601227,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2623355727,242,13,1,23,7,F. Mortensen,1xcf8y3egy8j0g2c6xkcx6o6h,1,95.8,53.8,2023-12-01T18:24:30.249,2023-12-01T18:25:56,NaN,"{""id"": 4686183147, ""qualifierId"": 74}",a1nefyfy7qtq1slexl4uz1gr8,Horsens vs Hobro,2023-12-01,NaN,true,NaN,NaN,NaN,true,,,NaN,NaN,Center,,NaN,NaN,true,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,54.1,63.9,NaN,NaN,NaN,NaN,NaN,NaN,,true,NaN,98.8,51.1,NaN,0.5899803042411804,NaN,1,1,true,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
