id,contestantId,team_name,playerName,playerId,q_qualifierId,q_value,match_id,label,date
2569278421,aljua8crr0vkwit0j3m59jw9j,SønderjyskE,S. Emini,5x8064b3yr7txk0czddfjtffu,321,0.09763413667678833,9b8kxd2pnl1e3euolduque80k,Vendsyssel vs SønderjyskE,2023-07-21
2569280849,aljua8crr0vkwit0j3m59jw9j,SønderjyskE,S. Emini,5x8064b3yr7txk0czddfjtffu,321,0.015652161091566086,9b8kxd2pnl1e3euolduque80k,Vendsyssel vs SønderjyskE,2023-07-21
2569281079,aljua8crr0vkwit0j3m59jw9j,SønderjyskE,P. Christiansen,djxtqxvqxd70prbr1gkwjp3sa,321,0.10887773334980011,9b8kxd2pnl1e3euolduque80k,Vendsyssel vs SønderjyskE,2023-07-21
2569281383,aljua8crr0vkwit0j3m59jw9j,SønderjyskE,P. Christiansen,djxtqxvqxd70prbr1gkwjp3sa,321,0.08900133520364761,9b8kxd2pnl1e3euolduque80k,Vendsyssel vs SønderjyskE,2023-07-21
2569286811,7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,M. Hannesbo,7ar33yy0wd5ah5o8om1l12pgq,321,0.03773796185851097,9b8kxd2pnl1e3euolduque80k,Vendsyssel vs SønderjyskE,2023-07-21
2569285887,aljua8crr0vkwit0j3m59jw9j,SønderjyskE,M. Agger,adg5dfvzxjrzlz1n2jsfeyx3o,321,0.022707289084792137,9b8kxd2pnl1e3euolduque80k,Vendsyssel vs SønderjyskE,2023-07-21
2569286339,aljua8crr0vkwit0j3m59jw9j,SønderjyskE,M. Agger,adg5dfvzxjrzlz1n2jsfeyx3o,321,0.11304124444723129,9b8kxd2pnl1e3euolduque80k,Vendsyssel vs SønderjyskE,2023-07-21
2569293329,7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,C. Lange,1w8gujxthv0lfjrn98paa1uga,321,0.06842400133609772,9b8kxd2pnl1e3euolduque80k,Vendsyssel vs SønderjyskE,2023-07-21
2569293345,7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,E. Nielsen,bubntd7xg8lyqaaw3utf3p8gk,321,0.05607502907514572,9b8kxd2pnl1e3euolduque80k,Vendsyssel vs SønderjyskE,2023-07-21
2569294981,aljua8crr0vkwit0j3m59jw9j,SønderjyskE,M. Soulas,6rd849oap6uh93wdwjk8590q1,321,0.0664,9b8kxd2pnl1e3euolduque80k,Vendsyssel vs SønderjyskE,2023-07-21
2569297691,aljua8crr0vkwit0j3m59jw9j,SønderjyskE,P. Christiansen,djxtqxvqxd70prbr1gkwjp3sa,321,0.012686492875218391,9b8kxd2pnl1e3euolduque80k,Vendsyssel vs SønderjyskE,2023-07-21
2569298605,aljua8crr0vkwit0j3m59jw9j,SønderjyskE,P. Christiansen,djxtqxvqxd70prbr1gkwjp3sa,321,0.04530873894691467,9b8kxd2pnl1e3euolduque80k,Vendsyssel vs SønderjyskE,2023-07-21
2569479787,ajtb177oqwawkdwbqhldmq6mx,B 93,J. Erenbjerg,a6z9meo0yksv97ntwe0q2k650,321,0.01852726750075817,9bkbmn322mwv657olm0zso7x0,B 93 vs AaB,2023-07-22
2569482401,ajtb177oqwawkdwbqhldmq6mx,B 93,M. Mouritz,ezbixgm2km8iapnsl57bn4wkp,321,0.02770465798676014,9bkbmn322mwv657olm0zso7x0,B 93 vs AaB,2023-07-22
2569481423,36g6ifzjliec1jqnbtf7yesme,AaB,L. Andersen,8kmwxl1xblwfsb0h40mkgrlcl,321,0.12969264388084412,9bkbmn322mwv657olm0zso7x0,B 93 vs AaB,2023-07-22
2569486937,ajtb177oqwawkdwbqhldmq6mx,B 93,J. Erenbjerg,a6z9meo0yksv97ntwe0q2k650,321,0.027102332562208176,9bkbmn322mwv657olm0zso7x0,B 93 vs AaB,2023-07-22
2569483563,36g6ifzjliec1jqnbtf7yesme,AaB,T. Prica,3v40cf58jryvu4l4cxu4w9ht6,321,0.05637813359498978,9bkbmn322mwv657olm0zso7x0,B 93 vs AaB,2023-07-22
2569484211,36g6ifzjliec1jqnbtf7yesme,AaB,R. Thelander,cw6s5hf1tytvb98vjuosz9r6d,321,0.04803837463259697,9bkbmn322mwv657olm0zso7x0,B 93 vs AaB,2023-07-22
2569485311,36g6ifzjliec1jqnbtf7yesme,AaB,R. Thelander,cw6s5hf1tytvb98vjuosz9r6d,321,0.07314877957105637,9bkbmn322mwv657olm0zso7x0,B 93 vs AaB,2023-07-22
2569490363,ajtb177oqwawkdwbqhldmq6mx,B 93,J. Erenbjerg,a6z9meo0yksv97ntwe0q2k650,321,0.06261042505502701,9bkbmn322mwv657olm0zso7x0,B 93 vs AaB,2023-07-22
2569488107,36g6ifzjliec1jqnbtf7yesme,AaB,T. Prica,3v40cf58jryvu4l4cxu4w9ht6,321,0.0992184653878212,9bkbmn322mwv657olm0zso7x0,B 93 vs AaB,2023-07-22
2569489231,36g6ifzjliec1jqnbtf7yesme,AaB,O. Ross,5lz41celw55rz3zh8pohclw5w,321,0.05215442180633545,9bkbmn322mwv657olm0zso7x0,B 93 vs AaB,2023-07-22
2569489443,36g6ifzjliec1jqnbtf7yesme,AaB,M. Widell,3q4tnk1z46lop4rbdpjtfoc2c,321,0.01222227979451418,9bkbmn322mwv657olm0zso7x0,B 93 vs AaB,2023-07-22
2569489679,36g6ifzjliec1jqnbtf7yesme,AaB,T. Prica,3v40cf58jryvu4l4cxu4w9ht6,321,0.5004289746284485,9bkbmn322mwv657olm0zso7x0,B 93 vs AaB,2023-07-22
2569491221,36g6ifzjliec1jqnbtf7yesme,AaB,Allan Sousa,acd2suy0kx4a4z5xfi1qiwiqx,321,0.025875290855765343,9bkbmn322mwv657olm0zso7x0,B 93 vs AaB,2023-07-22
2569505845,ajtb177oqwawkdwbqhldmq6mx,B 93,J. Erenbjerg,a6z9meo0yksv97ntwe0q2k650,321,0.062288761138916016,9bkbmn322mwv657olm0zso7x0,B 93 vs AaB,2023-07-22
2569493181,36g6ifzjliec1jqnbtf7yesme,AaB,M. Widell,3q4tnk1z46lop4rbdpjtfoc2c,321,0.025709692388772964,9bkbmn322mwv657olm0zso7x0,B 93 vs AaB,2023-07-22
2569495411,36g6ifzjliec1jqnbtf7yesme,AaB,M. Widell,3q4tnk1z46lop4rbdpjtfoc2c,321,0.026995019987225533,9bkbmn322mwv657olm0zso7x0,B 93 vs AaB,2023-07-22
2569503961,36g6ifzjliec1jqnbtf7yesme,AaB,M. Widell,3q4tnk1z46lop4rbdpjtfoc2c,321,0.12410032004117966,9bkbmn322mwv657olm0zso7x0,B 93 vs AaB,2023-07-22
2569505189,36g6ifzjliec1jqnbtf7yesme,AaB,M. Højholt,eyx42tgneccybvhk8bfhtcaqy,321,0.037211231887340546,9bkbmn322mwv657olm0zso7x0,B 93 vs AaB,2023-07-22
2569515371,ajtb177oqwawkdwbqhldmq6mx,B 93,E. Ogude,b12s22klt31o16liuuce95n11,321,0.1371716409921646,9bkbmn322mwv657olm0zso7x0,B 93 vs AaB,2023-07-22
2569508033,36g6ifzjliec1jqnbtf7yesme,AaB,L. Andersen,8kmwxl1xblwfsb0h40mkgrlcl,321,0.031057102605700493,9bkbmn322mwv657olm0zso7x0,B 93 vs AaB,2023-07-22
2569508275,36g6ifzjliec1jqnbtf7yesme,AaB,T. Prica,3v40cf58jryvu4l4cxu4w9ht6,321,0.05961588770151138,9bkbmn322mwv657olm0zso7x0,B 93 vs AaB,2023-07-22
2569509853,36g6ifzjliec1jqnbtf7yesme,AaB,L. Andersen,8kmwxl1xblwfsb0h40mkgrlcl,321,0.041533615440130234,9bkbmn322mwv657olm0zso7x0,B 93 vs AaB,2023-07-22
2569510167,36g6ifzjliec1jqnbtf7yesme,AaB,L. Kramer,7yst1mucy7jynmpzu1thox2i,321,0.18668489158153534,9bkbmn322mwv657olm0zso7x0,B 93 vs AaB,2023-07-22
2569517059,ajtb177oqwawkdwbqhldmq6mx,B 93,J. Erenbjerg,a6z9meo0yksv97ntwe0q2k650,321,0.06309469044208527,9bkbmn322mwv657olm0zso7x0,B 93 vs AaB,2023-07-22
2569510647,36g6ifzjliec1jqnbtf7yesme,AaB,L. Andersen,8kmwxl1xblwfsb0h40mkgrlcl,321,0.3862362802028656,9bkbmn322mwv657olm0zso7x0,B 93 vs AaB,2023-07-22
2569518587,ajtb177oqwawkdwbqhldmq6mx,B 93,M. Mouritz,ezbixgm2km8iapnsl57bn4wkp,321,0.008098739199340343,9bkbmn322mwv657olm0zso7x0,B 93 vs AaB,2023-07-22
2569515665,36g6ifzjliec1jqnbtf7yesme,AaB,L. Andersen,8kmwxl1xblwfsb0h40mkgrlcl,321,0.40283381938934326,9bkbmn322mwv657olm0zso7x0,B 93 vs AaB,2023-07-22
2569516807,36g6ifzjliec1jqnbtf7yesme,AaB,Pedro Ferreira,6fno1nklmlp93liytohma0mol,321,0.042361676692962646,9bkbmn322mwv657olm0zso7x0,B 93 vs AaB,2023-07-22
2569519607,36g6ifzjliec1jqnbtf7yesme,AaB,N. Helenius,rv6r0bwbl75er38wklyfpsr9,321,0.19146744906902313,9bkbmn322mwv657olm0zso7x0,B 93 vs AaB,2023-07-22
2569825451,36g6ifzjliec1jqnbtf7yesme,AaB,K. Jørgensen,de0dokhb6u6hts2hu5aupgiga,321,0.16268719732761383,9bkbmn322mwv657olm0zso7x0,B 93 vs AaB,2023-07-22
2569876869,36g6ifzjliec1jqnbtf7yesme,AaB,K. Jørgensen,de0dokhb6u6hts2hu5aupgiga,321,0.035038936883211136,9bkbmn322mwv657olm0zso7x0,B 93 vs AaB,2023-07-22
2569875455,b2vft81kyjurzbmekvgrqwr64,Hobro,L. Skjellerup,iygkwt0uv3gt899wmlbwc296,321,0.039777062833309174,9bw4k9bdworchwn5p5oqkkrv8,Fredericia vs Hobro,2023-07-23
2569879097,b2vft81kyjurzbmekvgrqwr64,Hobro,M. Brajanac,4krwgfspxdgpq1pli11b04iga,321,0.04447035863995552,9bw4k9bdworchwn5p5oqkkrv8,Fredericia vs Hobro,2023-07-23
2569877787,6wwwud48qahpwrfxs20334qk5,Fredericia,S. Bækgård,5o1k2hd9rdooxpjgbnabuh94a,321,0.4066273272037506,9bw4k9bdworchwn5p5oqkkrv8,Fredericia vs Hobro,2023-07-23
2569880935,b2vft81kyjurzbmekvgrqwr64,Hobro,M. Brajanac,4krwgfspxdgpq1pli11b04iga,321,0.16970844566822052,9bw4k9bdworchwn5p5oqkkrv8,Fredericia vs Hobro,2023-07-23
2569883289,6wwwud48qahpwrfxs20334qk5,Fredericia,N. Røjkjær,drzdo6ouxi5n4jafhfajpor85,321,0.03672235831618309,9bw4k9bdworchwn5p5oqkkrv8,Fredericia vs Hobro,2023-07-23
2569884905,b2vft81kyjurzbmekvgrqwr64,Hobro,V. Rasmussen,dwuxps3jv2852642q000wep6,321,0.017964409664273262,9bw4k9bdworchwn5p5oqkkrv8,Fredericia vs Hobro,2023-07-23
2569884459,6wwwud48qahpwrfxs20334qk5,Fredericia,J. Brinch,6yev7nszmpylpqncom2gdkul1,321,0.0276766549795866,9bw4k9bdworchwn5p5oqkkrv8,Fredericia vs Hobro,2023-07-23
2569886827,b2vft81kyjurzbmekvgrqwr64,Hobro,V. Rasmussen,dwuxps3jv2852642q000wep6,321,0.2142273485660553,9bw4k9bdworchwn5p5oqkkrv8,Fredericia vs Hobro,2023-07-23
2569887477,6wwwud48qahpwrfxs20334qk5,Fredericia,S. Bækgård,5o1k2hd9rdooxpjgbnabuh94a,321,0.015572312287986279,9bw4k9bdworchwn5p5oqkkrv8,Fredericia vs Hobro,2023-07-23
2569888197,6wwwud48qahpwrfxs20334qk5,Fredericia,F. Christensen,4smb0sorl9dms1k26si6tbqzu,321,0.026826167479157448,9bw4k9bdworchwn5p5oqkkrv8,Fredericia vs Hobro,2023-07-23
2569900005,b2vft81kyjurzbmekvgrqwr64,Hobro,O. Klitten,e19g5bz7s9wqcvj8mttztxi0a,321,0.11409162729978561,9bw4k9bdworchwn5p5oqkkrv8,Fredericia vs Hobro,2023-07-23
2569893819,6wwwud48qahpwrfxs20334qk5,Fredericia,N. Røjkjær,drzdo6ouxi5n4jafhfajpor85,321,0.03593570739030838,9bw4k9bdworchwn5p5oqkkrv8,Fredericia vs Hobro,2023-07-23
