contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,qualifier,assist,q_id,q_qualifierId,q_value,match_id,label,date,type_name,q_qualifier_name
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2649646835,191,15,1,19,11,I. Tånnander,6bajck5osvj7trnwt2a5mc3dg,1,93.9,33.6,2024-02-23T18:20:06.702,2024-02-23T18:31:44,"{""id"": 4826036193, ""qualifierId"": 321, ""value"": ""0.07687436789274216""}",1.0,4826036193,321,0.07687436789274216,a2e9c9qvmvcn763epwesnkd1w,Horsens vs Kolding,2024-02-23,Attempt Saved,Expected Goals
a9vw7ikerpr4cuweeeka5aneg,Horsens,2649650623,224,15,1,26,3,M. Lassen,duahzgqspyuy2gu31u3s8ky96,1,95.1,57.5,2024-02-23T18:26:58.496,2024-02-23T18:28:27,"{""id"": 4826027251, ""qualifierId"": 321, ""value"": ""0.2998960316181183""}",1.0,4826027251,321,0.2998960316181183,a2e9c9qvmvcn763epwesnkd1w,Horsens vs Kolding,2024-02-23,Attempt Saved,Expected Goals
a9vw7ikerpr4cuweeeka5aneg,Horsens,2649654041,274,13,1,31,50,S. Becher,2xewnia49fvj3u2x3y8tfq2ju,1,74.3,62.0,2024-02-23T18:32:45.120,2024-02-23T18:33:57,"{""id"": 4826046573, ""qualifierId"": 321, ""value"": ""0.01897791214287281""}",1.0,4826046573,321,0.01897791214287281,a2e9c9qvmvcn763epwesnkd1w,Horsens vs Kolding,2024-02-23,Miss,Expected Goals
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2649651391,284,14,1,27,33,M. Kristensen,932yrcg5whf7qk0o70cx5n88a,1,87.2,54.8,2024-02-23T18:28:28.634,2024-02-23T18:29:40,"{""id"": 4826031457, ""qualifierId"": 321, ""value"": ""0.08795048296451569""}",1.0,4826031457,321,0.08795048296451569,a2e9c9qvmvcn763epwesnkd1w,Horsens vs Kolding,2024-02-23,Post,Expected Goals
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2649656255,364,15,1,35,0,M. Jespersen,7nt9il7b9vvtgfco15bdpfpx,1,84.8,60.0,2024-02-23T18:35:55.706,2024-02-23T18:37:09,"{""id"": 4826058705, ""qualifierId"": 321, ""value"": ""0.04004749655723572""}",1.0,4826058705,321,0.04004749655723572,a2e9c9qvmvcn763epwesnkd1w,Horsens vs Kolding,2024-02-23,Attempt Saved,Expected Goals
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2649684761,612,16,2,58,47,A. Beck,dyzzo6n83rg4fpvmqqa69moes,1,96.3,46.9,2024-02-23T19:15:33.285,2024-02-23T19:16:45,"{""id"": 4826209657, ""qualifierId"": 321, ""value"": ""0.6041418313980103""}",1.0,4826209657,321,0.6041418313980103,a2e9c9qvmvcn763epwesnkd1w,Horsens vs Kolding,2024-02-23,Goal,Expected Goals
a9vw7ikerpr4cuweeeka5aneg,Horsens,2649696563,631,16,2,73,56,S. Becher,2xewnia49fvj3u2x3y8tfq2ju,1,89.8,50.6,2024-02-23T19:30:42.174,2024-02-23T19:32:04,"{""id"": 4826272889, ""qualifierId"": 321, ""value"": ""0.13887570798397064""}",1.0,4826272889,321,0.13887570798397064,a2e9c9qvmvcn763epwesnkd1w,Horsens vs Kolding,2024-02-23,Goal,Expected Goals
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2649692793,682,15,2,68,46,M. Vestergård,f58yr2jmfp8kpgprfxbokt1t6,1,84.0,65.4,2024-02-23T19:25:32.580,2024-02-23T19:27:27,"{""id"": 4826253725, ""qualifierId"": 321, ""value"": ""0.07849574834108353""}",1.0,4826253725,321,0.07849574834108353,a2e9c9qvmvcn763epwesnkd1w,Horsens vs Kolding,2024-02-23,Attempt Saved,Expected Goals
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2649692895,685,15,2,68,56,J. Pedersen,7165hb1x2ygl2j5weox7hy6i2,1,78.8,53.4,2024-02-23T19:25:42.497,2024-02-23T19:26:59,"{""id"": 4826252587, ""qualifierId"": 321, ""value"": ""0.030062668025493622""}",1.0,4826252587,321,0.030062668025493622,a2e9c9qvmvcn763epwesnkd1w,Horsens vs Kolding,2024-02-23,Attempt Saved,Expected Goals
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2649703049,775,16,2,80,57,I. Tånnander,6bajck5osvj7trnwt2a5mc3dg,1,98.0,52.3,2024-02-23T19:37:43.401,2024-02-23T19:41:41,"{""id"": 4826307543, ""qualifierId"": 321, ""value"": ""0.8956940174102783""}",NaN,4826307543,321,0.8956940174102783,a2e9c9qvmvcn763epwesnkd1w,Horsens vs Kolding,2024-02-23,Goal,Expected Goals
