contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,qualifier,assist,q_id,q_qualifierId,q_value,match_id,label,date,type_name,q_qualifier_name
6wwwud48qahpwrfxs20334qk5,Fredericia,2584870409,692,15,2,75,11,F. Carstensen,2of6xfvdgpsrqehwxrc39kcq2,1,87.0,43.9,2023-09-01T18:31:58.958,2023-09-01T18:33:43,"{""id"": 4480474229, ""qualifierId"": 321, ""value"": ""0.07672366499900818""}",NaN,4480474229,321,0.07672366499900818,9lxujc065wdda61ro3hguxhqs,Vendsyssel vs Fredericia,2023-09-01,Attempt Saved,Expected Goals
6wwwud48qahpwrfxs20334qk5,Fredericia,2584873623,705,13,2,77,56,T. Bach,5lssweodhkyifhj333v6f6r6c,1,87.6,33.0,2023-09-01T18:34:44.408,2023-09-01T18:36,"{""id"": 4480489121, ""qualifierId"": 321, ""value"": ""0.07160022854804993""}",1.0,4480489121,321,0.07160022854804993,9lxujc065wdda61ro3hguxhqs,Vendsyssel vs Fredericia,2023-09-01,Miss,Expected Goals
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2584868041,752,15,2,73,7,C. Lange,1w8gujxthv0lfjrn98paa1uga,1,89.2,64.3,2023-09-01T18:29:55.155,2023-09-01T18:31:28,"{""id"": 4480457981, ""qualifierId"": 321, ""value"": ""0.07017488777637482""}",1.0,4480457981,321,0.07017488777637482,9lxujc065wdda61ro3hguxhqs,Vendsyssel vs Fredericia,2023-09-01,Attempt Saved,Expected Goals
6wwwud48qahpwrfxs20334qk5,Fredericia,2584879349,754,15,2,82,54,T. Bach,5lssweodhkyifhj333v6f6r6c,1,93.8,53.3,2023-09-01T18:39:41.805,2023-09-01T18:42:12,"{""id"": 4480528391, ""qualifierId"": 321, ""value"": ""0.5574219226837158""}",1.0,4480528391,321,0.5574219226837158,9lxujc065wdda61ro3hguxhqs,Vendsyssel vs Fredericia,2023-09-01,Attempt Saved,Expected Goals
6wwwud48qahpwrfxs20334qk5,Fredericia,2584890253,817,16,2,91,40,E. Simonsen,45ssaw51hm80y1tfalyesap9m,1,84.3,53.0,2023-09-01T18:48:27.870,2023-09-01T18:49:54,"{""id"": 4480582631, ""qualifierId"": 321, ""value"": ""0.10595905780792236""}",1.0,4480582631,321,0.10595905780792236,9lxujc065wdda61ro3hguxhqs,Vendsyssel vs Fredericia,2023-09-01,Goal,Expected Goals
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2584885349,883,13,2,87,52,Z. Dalügge,ag1psg17osvgbq5fz9xo7kmj8,1,92.0,51.9,2023-09-01T18:44:40.687,2023-09-01T18:46:04,"{""id"": 4480554485, ""qualifierId"": 321, ""value"": ""0.14480914175510406""}",1.0,4480554485,321,0.14480914175510406,9lxujc065wdda61ro3hguxhqs,Vendsyssel vs Fredericia,2023-09-01,Miss,Expected Goals
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2584891617,934,15,2,92,56,B. Smales-Braithwaite,40ifyh0wgq2iuozpkgxkw7tre,1,74.9,35.5,2023-09-01T18:49:43.839,2023-09-01T18:50:54,"{""id"": 4480589035, ""qualifierId"": 321, ""value"": ""0.018385672941803932""}",1.0,4480589035,321,0.018385672941803932,9lxujc065wdda61ro3hguxhqs,Vendsyssel vs Fredericia,2023-09-01,Attempt Saved,Expected Goals
6wwwud48qahpwrfxs20334qk5,Fredericia,2656502345,100,15,1,7,42,L. Hetemi,7uia9zlz3axnuc6usdn9u4kfe,1,76.5,29.1,2024-03-09T12:09:09.226,2024-03-09T12:10:24,"{""id"": 4862936265, ""qualifierId"": 321, ""value"": ""0.016653025522828102""}",NaN,4862936265,321,0.016653025522828102,a67rpdlkui841fmr66y7mgm50,Næstved vs Fredericia,2024-03-09,Attempt Saved,Expected Goals
6wwwud48qahpwrfxs20334qk5,Fredericia,2656502435,102,13,1,7,46,C. Gammelgaard,1hbucfyn2l3bxcw5r4zcb1dlg,1,87.6,31.0,2024-03-09T12:09:13.703,2024-03-09T12:10:46,"{""id"": 4862937027, ""qualifierId"": 321, ""value"": ""0.038584690541028976""}",1.0,4862937027,321,0.038584690541028976,a67rpdlkui841fmr66y7mgm50,Næstved vs Fredericia,2024-03-09,Miss,Expected Goals
6wwwud48qahpwrfxs20334qk5,Fredericia,2656511671,221,15,1,17,7,S. Berger,8ngloyr6r0m71p8kgpfe69bvu,1,80.5,67.2,2024-03-09T12:18:34.696,2024-03-09T12:19:45,"{""id"": 4862984275, ""qualifierId"": 321, ""value"": ""0.025426287204027176""}",1.0,4862984275,321,0.025426287204027176,a67rpdlkui841fmr66y7mgm50,Næstved vs Fredericia,2024-03-09,Attempt Saved,Expected Goals
9p2s410bvc59jz238ugicc3fn,Næstved,2656527037,272,13,1,36,43,F. Ellegaard,axku82d0k0yneq3cgw2rztox6,1,97.5,41.9,2024-03-09T12:38:10.128,2024-03-09T12:39:24,"{""id"": 4863063607, ""qualifierId"": 321, ""value"": ""0.21570973098278046""}",1.0,4863063607,321,0.21570973098278046,a67rpdlkui841fmr66y7mgm50,Næstved vs Fredericia,2024-03-09,Miss,Expected Goals
6wwwud48qahpwrfxs20334qk5,Fredericia,2656517877,281,15,1,24,23,S. Berger,8ngloyr6r0m71p8kgpfe69bvu,1,87.2,60.5,2024-03-09T12:25:50.546,2024-03-09T12:27:01,"{""id"": 4863016643, ""qualifierId"": 321, ""value"": ""0.10436370223760605""}",1.0,4863016643,321,0.10436370223760605,a67rpdlkui841fmr66y7mgm50,Næstved vs Fredericia,2024-03-09,Attempt Saved,Expected Goals
6wwwud48qahpwrfxs20334qk5,Fredericia,2656520467,306,15,1,27,50,E. Dall,91xtn2wlot8g8ue89zn4iiyqy,1,85.7,69.6,2024-03-09T12:29:17.783,2024-03-09T12:30:27,"{""id"": 4863029667, ""qualifierId"": 321, ""value"": ""0.035900454968214035""}",1.0,4863029667,321,0.035900454968214035,a67rpdlkui841fmr66y7mgm50,Næstved vs Fredericia,2024-03-09,Attempt Saved,Expected Goals
9p2s410bvc59jz238ugicc3fn,Næstved,2656536077,356,15,1,46,44,F. Ellegaard,axku82d0k0yneq3cgw2rztox6,1,85.1,73.6,2024-03-09T12:48:11.744,2024-03-09T12:49:29,"{""id"": 4863110277, ""qualifierId"": 321, ""value"": ""0.03271506354212761""}",NaN,4863110277,321,0.03271506354212761,a67rpdlkui841fmr66y7mgm50,Næstved vs Fredericia,2024-03-09,Attempt Saved,Expected Goals
9p2s410bvc59jz238ugicc3fn,Næstved,2656555331,436,15,2,53,1,F. Christensen,86elyas9hffkzucaq158gfnit,1,85.0,25.6,2024-03-09T13:12:09.735,2024-03-09T13:14:24,"{""id"": 4863215413, ""qualifierId"": 321, ""value"": ""0.025934483855962753""}",1.0,4863215413,321,0.025934483855962753,a67rpdlkui841fmr66y7mgm50,Næstved vs Fredericia,2024-03-09,Attempt Saved,Expected Goals
