contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,qualifier,assist,match_id,label,date,15,17,18,20,22,23,25,29,56,60,63,64,67,72,73,74,75,77,78,79,80,81,82,83,84,89,102,103,108,114,146,147,153,154,160,214,215,230,231,233,321,322,326,327,328,374,375,391,395,396,458,9,16,24,26,62,70,76,86,100,138,275,323,324,338,353,390,28,61,87,120,121,280,281,282,468,469,472,473,85,101,133,136,113,21,66,19,65,314,68,276,139,254,137,69,216,217,300
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2572999711,919,13,2,83,9,S. Pingel,3epwf56ozg73hueacwmckk0r9,1,92.6,53.0,2023-08-04T18:43:43.830,2023-08-04T18:45:24,"{""id"": 4416383129, ""qualifierId"": 327, ""value"": ""2""}",1.0,9ehqi50v66s64uked126f0650,Hillerød vs Hobro,2023-08-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.3,4.2,NaN,NaN,95.5,46.0,NaN,NaN,NaN,NaN,NaN,99.8,50.2,NaN,0.038998644798994064,NaN,3,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2572999721,920,13,2,83,10,A. Højmark-Jensen,85s00xohkxaor9nmp7s17qwa1,1,95.9,44.1,2023-08-04T18:43:44.686,2023-08-04T18:46:04,"{""id"": 4416386373, ""qualifierId"": 231, ""value"": ""48.4""}",1.0,9ehqi50v66s64uked126f0650,Hillerød vs Hobro,2023-08-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.7,30.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99.8,48.4,NaN,0.18737608194351196,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2573000591,938,15,2,84,49,V. Schousboe,bgd377c7d3jfjd3yo3e02f0iy,1,88.2,66.0,2023-08-04T18:45:23.246,2023-08-04T18:46:32,"{""id"": 4416387783, ""qualifierId"": 147, ""value"": ""53.3""}",1.0,9ehqi50v66s64uked126f0650,Hillerød vs Hobro,2023-08-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49.6,3.2,NaN,NaN,97.8,53.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,776,0.04647296667098999,0.0357,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2573003885,978,15,2,90,30,A. Højmark-Jensen,85s00xohkxaor9nmp7s17qwa1,1,90.0,46.6,2023-08-04T18:51:04.776,2023-08-04T18:52:17,"{""id"": 4416406813, ""qualifierId"": 56, ""value"": ""Center""}",1.0,9ehqi50v66s64uked126f0650,Hillerød vs Hobro,2023-08-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48.4,12.0,NaN,NaN,99.1,49.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,818,0.08262079954147339,0.392,2,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2573004739,996,15,2,92,9,G. Arndal-Lauritzen,5i6n6yne6fh410vk7p7kkokmi,1,88.5,45.8,2023-08-04T18:52:43.924,2023-08-04T18:54:19,"{""id"": 4416412421, ""qualifierId"": 322, ""value"": ""0.323""}",1.0,9ehqi50v66s64uked126f0650,Hillerød vs Hobro,2023-08-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46.5,24.7,NaN,NaN,99.5,49.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,832,0.036391787230968475,0.323,3,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2608980931,16,13,1,1,1,V. Schousboe,bgd377c7d3jfjd3yo3e02f0iy,1,87.2,71.4,2023-10-27T17:01:01.732,2023-10-27T17:02:35,"{""id"": 4609347741, ""qualifierId"": 64}",1.0,9vt88nai7n763nuplxwf4eluc,Horsens vs Hillerød,2023-10-27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Center,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,58.7,4.2,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,98.2,53.1,NaN,0.04119827598333359,NaN,3,1,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a9vw7ikerpr4cuweeeka5aneg,Horsens,2608988897,112,13,1,9,55,A. Sigurðarson,266me3mc2giq9nnwn7ymkmymt,1,84.3,66.8,2023-10-27T17:09:56.450,2023-10-30T17:29:53,"{""id"": 4609389725, ""qualifierId"": 22}",NaN,9vt88nai7n763nuplxwf4eluc,Horsens vs Hillerød,2023-10-27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Center,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,35.1,44.4,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,98.8,50.9,NaN,0.04137245938181877,NaN,2,2,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2608992177,127,15,1,13,20,V. Schousboe,bgd377c7d3jfjd3yo3e02f0iy,1,93.7,48.9,2023-10-27T17:13:20.799,2023-10-27T17:59:32,"{""id"": 4609427935, ""qualifierId"": 29}",1.0,9vt88nai7n763nuplxwf4eluc,Horsens vs Hillerød,2023-10-27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Center,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,50.6,17.1,NaN,,99.1,51.1,NaN,NaN,,NaN,NaN,NaN,NaN,159,0.1466013789176941,0.043,3,2,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2608992227,128,15,1,13,21,N. Schmidt,5dlh0fa9yo6z283w9p58xmnoq,1,96.9,46.8,2023-10-27T17:13:21.995,2023-10-30T17:29:56,"{""id"": 4609407719, ""qualifierId"": 327, ""value"": ""2""}",NaN,9vt88nai7n763nuplxwf4eluc,Horsens vs Hillerød,2023-10-27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Center,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,50.6,8.9,NaN,,99.5,50.2,NaN,NaN,,NaN,NaN,NaN,NaN,146,0.4010726511478424,0.6791,1,2,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,127,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2608994381,153,15,1,15,45,V. Schousboe,bgd377c7d3jfjd3yo3e02f0iy,1,94.2,65.3,2023-10-27T17:15:46.351,2023-10-30T17:29:57,"{""id"": 4609598069, ""qualifierId"": 29}",1.0,9vt88nai7n763nuplxwf4eluc,Horsens vs Hillerød,2023-10-27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Center,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,50.1,3.2,NaN,,96.0,61.7,NaN,NaN,,NaN,NaN,NaN,NaN,164,0.2741440236568451,0.1512,1,1,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
